Title,Corresponding author,country,institute,Year,Sample Name,Pt at% in metal element,Pd at% in metal element,Au at% in metal element,Ir at% in metal element,Ru at% in metal element,Ni at% in metal element,Co at% in metal element,Fe at% in metal element,Mn at% in metal element,Zn at% in metal element,Cu at% in metal element,Ti at% in metal element,Cr at% in metal element,Mo at% in metal element,Ag at% in metal element,V at% in metal element,Sc at% in metal element,W at% in metal element,Os at% in metal element,Ga at% in metal element,total metal mass ratio wt%,N at%,Sn at%,S at%,O at%,Ti at%,Ta at%,Nb at%,Si at%,W at%,C wt%,Particle diameter £®nm£©,Particle variance,carbon substrate type,carbon particle diameter(nm),support BET surface area(m2/g),Reduction Temperature,Reduction Time/min,Reducing agent( chemical name in english),pH,Annealing Temperature,Annealing Time/h,Atomosphere h2,Atomosphere inert,ECSA m2/g,Mass Activity mA mg-1,Specific Activity mA cm-2,Half wave potential £®V vsRHE£©,Onset Potential £®V vsRHE£©,Reduce in MA/ mA mg-1,I/C Ratio(ionomer/catalyst),Area cm2,Cathodic Loading Amount mgPt cm-2,Anodic Platinum Loading Amount mgPt cm-2,Anodic catalyst type x wt% Pt/C,Membrane,membrane thickness,Hot Press Temperature,Hot Press Time min,Hot Press Pressure Mpa,Humidity %,GDE for 1,celltemp©,Flowing rate of H2 ml min-1,flowing rate of cathode gas(O2/air),stoichiometry/anode,stoichiometry/cathode,stoich to flow anode,stoich to flow cathode,Back Pressure Mpa,"Current decay at 0.6V(ma,cm2)",Cathode gas oxygen ratio,Maximum Power Density mW cm-2,Open Circuit Voltage V,Voltage 100mA cm0,Voltage 200mA cm0,Voltage 300mA cm0,Voltage 400mA cm0,Voltage 500mA cm0,Voltage 600mA cm0,Voltage 700mA cm0,Voltage 800mA cm0,Voltage 900mA cm0,Voltage 1000mA cm0,Voltage 1100mA cm0,Voltage 1200mA cm0,Voltage 1300mA cm0,Voltage 1400mA cm0,Voltage 1500mA cm0,Voltage 1600mA cm0,Voltage 1700mA cm0,Voltage 1800mA cm0,Voltage 1900mA cm0,Voltage 2000mA cm0,Voltage 2100mA cm0,Voltage 2200mA cm0,Voltage 2300mA cm0,Voltage 2400mA cm0,Voltage 2500mA cm0,Voltage 2600mA cm0,Voltage 2700mA cm0,Voltage 2800mA cm0,Voltage 2900mA cm0,Voltage 3000mA cm0
Polyaniline Based Pt-Electrocatalyst for a Proton Exchanged Membrane Fuel Cell,Yen-Zen Wang,taiwan,National Yun-Lin University of Science and Technology,2020,Pt/XC72/500,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.28,0,0,0,0,0,0,94,3.01,,XC-72R,30,230,25,0,none,7,500,1,0,1,55,225,0.409090909,,,,,4,0.3,0.1,,nafion 212,50,140,5,7,100,0,70,,,,,0,0,0,,1,252,0.95,0.69,0.62,0.56,0.51,0.46,0.415,0.36,0.3,0.24431,0.1961,0.15394,0.11677,0.08375,0.05423,0.02766,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Polyaniline Based Pt-Electrocatalyst for a Proton Exchanged Membrane Fuel Cell,Yen-Zen Wang,taiwan,National Yun-Lin University of Science and Technology,2020,Pt/XC72/600,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.35,0,0,0,0,0,0,93,4.42,,XC-72R,30,230,25,0,none,7,600,1,0,1,55,225,0.409090909,,,,,4,0.35,0.1,,nafion 212,50,140,5,7,100,0,70,,,,,0,0,0,,1,400,0.95,0.8,0.75,0.7,0.66,0.625,0.58,0.54,0.5,0.44,0.38,0.33,0.275,0.21,0.14985,0.09805,0.05298,0.0134,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Polyaniline Based Pt-Electrocatalyst for a Proton Exchanged Membrane Fuel Cell,Yen-Zen Wang,taiwan,National Yun-Lin University of Science and Technology,2020,Pt/XC72/800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0.4,0,0,0,0,0,0,91,4.86,,XC-72R,30,230,25,0,none,7,800,1,0,1,55,225,0.409090909,,,,,4,0.45,0.1,,nafion 212,50,140,5,7,100,0,70,,,,,0,0,0,,1,427.5,1,0.8,0.76,0.72,0.68,0.64,0.6,0.56,0.525,0.475,0.425,0.37,0.3,0.23,0.1654,0.11007,0.06213,0.02021,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Polyaniline Based Pt-Electrocatalyst for a Proton Exchanged Membrane Fuel Cell,Yen-Zen Wang,taiwan,National Yun-Lin University of Science and Technology,2020,Pt/XC72/900,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,91,5.2,,XC-72R,30,230,25,0,none,7,900,1,0,1,2.02,225,11.13861386,,,,,4,0.45,0.1,,nafion 212,50,140,5,7,100,0,70,,,,,0,0,0,,1,445.5,1,0.84,0.78,0.74,0.705,0.67,0.63,0.58,0.54,0.495,0.44,0.375,0.32,0.2688,0.22421,0.18503,0.15033,0.11939,0.09162,0.06657,0.04384,0.02314,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Polyaniline Based Pt-Electrocatalyst for a Proton Exchanged Membrane Fuel Cell,Yen-Zen Wang,taiwan,National Yun-Lin University of Science and Technology,2020,Pt/EBXC72/800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2,0,0,0.51,0,0,0,0,0,0,77.7,1.81,,XC-72R/APS,30,,25,0,none,7,800,1,0,1,29.14,225,0.772134523,,,,,4,1.11,0.1,,nafion 212,50,140,5,7,100,0,70,,,,,0,0,0,,1,531.278,0.95,0.82,0.775,0.735,0.7,0.675,0.65,0.62,0.59,0.53,0.5,0.46,0.42,0.395,0.37119,0.34955,0.32978,0.31167,0.295,0.27962,0.26537,0.25214,0.23983,0.22833,0.21758,0.2075,0.19803,0.18884,0.18019,0.17202,0.1643
Polyaniline Based Pt-Electrocatalyst for a Proton Exchanged Membrane Fuel Cell,Yen-Zen Wang,taiwan,National Yun-Lin University of Science and Technology,2020,Pt/EBXC72/900,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.6,0,0,0.34,0,0,0,0,0,0,33.3,3.86,,XC-72R+APS,30,,25,0,none,7,900,1,0,1,2.29,217,9.475982533,,,,,4,1.83,0.1,,nafion 212,50,140,5,7,100,0,70,,,,,0,0,0,,1,462,0.95,0.82,0.775,0.725,0.69,0.66,0.625,0.59,0.565,0.49,0.46,0.42,0.38,0.35,0.3,0.27,0.225,0.18283,0.14565,0.11262,0.08308,0.05651,0.03249,0.01065,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Carbon Support Microstructure Impact on High Current Density Transport Resistances in PEMFC Cathode,Swami Kumaraguru,United States,General Motors,2020,HSC-a,75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,4,0.2,home-made carbon,40,473,,,ethylene glycol,10,25,0,0,0,57,225,0.394736842,,,,0.8,5,0.06,0.025,10,PFSA,18,,,,100,0,80,,,,,0,0,0.15,,0.21,935,0.9,0.835,0.8,0.785,0.77,0.755,0.745,0.7316,0.72,0.705,0.69,0.675,0.665,0.645,0.625,0.605,0.575,0.55,0.51,0.475,0.45,0.405,0.375,0.34,0.3,0.27,0.24156,0.21592,0.1927,0.17157,0.15225
Carbon Support Microstructure Impact on High Current Density Transport Resistances in PEMFC Cathode,Swami Kumaraguru,United States,General Motors,2020,HSC-b,75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,3.5,0.1,home-made carbon,40,457,,,ethylene glycol,10,25,0,0,0,64,225,0.3515625,,,,0.8,5,0.06,0.025,10,PFSA,18,,,,100,0,80,,,,,0,0,0.15,,0.21,1029,0.88,0.795,0.77,0.75,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.65,0.64,0.63,0.615,0.6,0.585,0.57,0.55,0.53,0.51,0.49,0.46,0.425,0.395,0.355,0.31738,0.28398,0.25414,0.2273,0.20305
Carbon Support Microstructure Impact on High Current Density Transport Resistances in PEMFC Cathode,Swami Kumaraguru,United States,General Motors,2020,HSC-e,75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,4.1,0.2,home-made carbon,40,393,,,ethylene glycol,10,25,0,0,0,54,225,0.416666667,,,,0.8,5,0.06,0.025,10,PFSA,18,,,,100,0,80,,,,,0,0,0.15,,0.21,1004,0.865,0.8,0.775,0.765,0.75,0.74,0.725,0.715,0.7,0.69,0.675,0.665,0.65,0.635,0.625,0.615,0.595,0.575,0.55,0.525,0.502,0.465,0.435,0.395,0.355,0.32,0.28695,0.25741,0.23083,0.20679,0.18495
Carbon Support Microstructure Impact on High Current Density Transport Resistances in PEMFC Cathode,Swami Kumaraguru,United States,General Motors,2020,HSC-f,75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,3.8,0.2,home-made carbon,40,698,,,ethylene glycol,10,25,0,0,0,75,225,0.3,,,,0.8,5,0.06,0.025,10,PFSA,18,,,,100,0,80,,,,,0,0,0.15,,0.21,1102.5,0.865,0.8,0.775,0.765,0.75,0.74,0.725,0.715,0.7,0.69,0.68,0.67,0.66,0.65,0.64,0.625,0.61,0.598,0.58,0.56,0.55,0.525,0.5,0.475,0.45,0.425,0.40119,0.37955,0.35978,0.34167,0.325
Carbon Support Microstructure Impact on High Current Density Transport Resistances in PEMFC Cathode,Swami Kumaraguru,United States,General Motors,2020,HSC-g,75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,4.2,0.2,home-made carbon,40,447,,,ethylene glycol,10,25,0,0,0,65,225,0.346153846,,,,0.8,5,0.06,0.025,10,PFSA,18,,,,100,0,80,,,,,0,0,0.15,,0.21,920,0.9,0.84,0.8,0.785,0.765,0.75,0.74,0.73,0.715,0.705,0.69,0.675,0.665,0.64,0.625,0.605,0.575,0.54,0.51,0.48,0.45,0.405,0.37,0.335,0.3,0.27,0.24156,0.21592,0.1927,0.17157,0.15225
Carbon Support Microstructure Impact on High Current Density Transport Resistances in PEMFC Cathode,Swami Kumaraguru,United States,General Motors,2020,MSC-a,75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,6.4,0.6,home-made carbon,40,146,,,ethylene glycol,10,25,0,0,0,40,225,0.5625,,,,0.8,5,0.06,0.025,10,PFSA,18,,,,100,0,80,,,,,0,0,0.15,,0.21,819,0.87,0.785,0.75,0.74,0.72,0.705,0.695,0.685,0.66,0.65,0.63,0.61,0.595,0.575,0.55,0.53,0.5,0.48,0.455,0.425,0.402,0.365,0.33,0.29695,0.26741,0.24083,0.21679,0.19495,0.17501,0.15675,0.13995
Carbon Support Microstructure Impact on High Current Density Transport Resistances in PEMFC Cathode,Swami Kumaraguru,United States,General Motors,2020,HSC-a,75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,4,0.2,home-made carbon,40,473,,,ethylene glycol,10,25,0,0,0,57,225,0.394736842,,,,0.8,5,0.1,0.025,10,PFSA,18,,,,65,0,94,,,,,0,0,0.25,,0.21,1520.64,1.04,0.87,0.835,0.815,0.8,0.79,0.77,0.755,0.74,0.73,0.725,0.715,0.705,0.698,0.69,0.68,0.67,0.65,0.64,0.63,0.615,0.60056,0.58716,0.57468,0.56305,0.55217,0.54197,0.53239,0.52339,0.51489,0.50688
Carbon Support Microstructure Impact on High Current Density Transport Resistances in PEMFC Cathode,Swami Kumaraguru,United States,General Motors,2020,HSC-b,75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,3.5,0.1,home-made carbon,40,457,,,ethylene glycol,10,25,0,0,0,64,225,0.3515625,,,,0.8,5,0.1,0.025,10,PFSA,18,,,,65,0,94,,,,,0,0,0.25,,0.21,1205.4,1,0.845,0.795,0.775,0.755,0.74,0.73,0.715,0.71,0.698,0.69,0.67,0.655,0.645,0.63,0.615,0.602,0.59,0.575,0.56,0.54,0.52086,0.50328,0.4871,0.47214,0.45827,0.44539,0.43338,0.42216,0.41166,0.4018
Carbon Support Microstructure Impact on High Current Density Transport Resistances in PEMFC Cathode,Swami Kumaraguru,United States,General Motors,2020,HSC-e,75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,4.1,0.2,home-made carbon,40,393,,,ethylene glycol,10,25,0,0,0,54,225,0.416666667,,,,0.8,5,0.1,0.025,10,PFSA,18,,,,65,0,94,,,,,0,0,0.25,,0.21,1370.4,1,0.87,0.83,0.81,0.79,0.78,0.765,0.755,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.65,0.64,0.63,0.615,0.595,0.57586,0.55828,0.5421,0.52714,0.51327,0.50039,0.48838,0.47716,0.46666,0.4568
Carbon Support Microstructure Impact on High Current Density Transport Resistances in PEMFC Cathode,Swami Kumaraguru,United States,General Motors,2020,HSC-f,75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,3.8,0.2,home-made carbon,40,698,,,ethylene glycol,10,25,0,0,0,75,225,0.3,,,,0.8,5,0.1,0.025,10,PFSA,18,,,,65,0,94,,,,,0,0,0.25,,0.21,1085.4,1,0.845,0.795,0.775,0.755,0.74,0.725,0.71,0.7,0.69,0.675,0.66,0.645,0.63,0.61,0.595,0.58,0.56,0.545,0.52,0.5,0.48086,0.46328,0.4471,0.43214,0.41827,0.40539,0.39338,0.38216,0.37166,0.3618
Carbon Support Microstructure Impact on High Current Density Transport Resistances in PEMFC Cathode,Swami Kumaraguru,United States,General Motors,2020,HSC-g,75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,4.2,0.2,home-made carbon,40,447,,,ethylene glycol,10,25,0,0,0,65,225,0.346153846,,,,0.8,5,0.1,0.025,10,PFSA,18,,,,65,0,94,,,,,0,0,0.25,,0.21,1475.64,1,0.87,0.83,0.81,0.79,0.78,0.765,0.755,0.74,0.73,0.72,0.71,0.7,0.69,0.68,0.67,0.65,0.64,0.63,0.615,0.6,0.58556,0.57216,0.55968,0.54805,0.53717,0.52697,0.51739,0.50839,0.49989,0.49188
Carbon Support Microstructure Impact on High Current Density Transport Resistances in PEMFC Cathode,Swami Kumaraguru,United States,General Motors,2020,MSC-a,75,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,6.4,0.6,home-made carbon,40,146,,,ethylene glycol,10,25,0,0,0,40,225,0.5625,,,,0.8,5,0.1,0.025,10,PFSA,18,,,,65,0,94,,,,,0,0,0.25,,0.21,1355.64,1,0.835,0.8,0.785,0.765,0.755,0.745,0.73,0.72,0.71,0.698,0.685,0.675,0.66,0.65,0.635,0.625,0.6,0.59,0.575,0.56,0.54556,0.53216,0.51968,0.50805,0.49717,0.48697,0.47739,0.46839,0.45989,0.45188
Impact of Membrane Types and Catalyst Layers Composition on Performance of Polymer Electrolyte Membrane Fuel Cells,Paritosh Kumar Mohanta,germany,Zentrum f®πr Sonnenenergie-und Wasserstoff-Forschung Baden-W®πrttemberg (ZSW),2020,TKV30,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,1.4,,XC-72R,30,230,120,1,ethylene glycol,12,250,1,1,0,113,597,0.528318584,,,,0.62,25,0.25,0.1,19.4,nafion 211,25,140,4,10,85,0,80,195,450,1.3,3,195,450,0.15,,0.21,884,0.95,0.86,0.82,0.8,0.775,0.76,0.745,0.725,0.71,0.7,0.68,0.66,0.645,0.625,0.602,0.58,0.55,0.52,0.485,0.45,0.405,0.36,0.285,0.21598,0.15715,0.1064,0.06219,0.02331,0.01,0.01,0.01
Impact of Membrane Types and Catalyst Layers Composition on Performance of Polymer Electrolyte Membrane Fuel Cells,Paritosh Kumar Mohanta,germany,Zentrum f®πr Sonnenenergie-und Wasserstoff-Forschung Baden-W®πrttemberg (ZSW),2020,TKV30,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,2.4,,XC-72R,31,230,120,1,ethylene glycol,12,250,1,1,0,113,597,0.528318584,,,,0.72,25,0.25,,,nafion 211,25,140,4,10,85,0,80,195,450,1.3,3,195,450,0.15,,0.21,918,0.95,0.85,0.81,0.79,0.765,0.75,0.735,0.715,0.7,0.69,0.68,0.66,0.645,0.625,0.61,0.59,0.56,0.54,0.51,0.48,0.45,0.41,0.37,0.32,0.2733,0.23239,0.19625,0.1641,0.1353,0.10936,0.08588
Impact of Membrane Types and Catalyst Layers Composition on Performance of Polymer Electrolyte Membrane Fuel Cells,Paritosh Kumar Mohanta,germany,Zentrum f®πr Sonnenenergie-und Wasserstoff-Forschung Baden-W®πrttemberg (ZSW),2020,TKV30,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,3.4,,XC-72R,32,230,120,1,ethylene glycol,12,250,1,1,0,113,597,0.528318584,,,,0.82,25,0.25,,,nafion 211,25,140,4,10,85,0,80,195,450,1.3,3,195,450,0.15,,0.21,884,0.95,0.84,0.8,0.78,0.755,0.74,0.725,0.705,0.69,0.68,0.675,0.66,0.645,0.625,0.602,0.58,0.55,0.52,0.49,0.455,0.415,0.37,0.32783,0.29065,0.25762,0.22808,0.20151,0.17749,0.15565,0.13573,0.11747
Impact of Membrane Types and Catalyst Layers Composition on Performance of Polymer Electrolyte Membrane Fuel Cells,Paritosh Kumar Mohanta,germany,Zentrum f®πr Sonnenenergie-und Wasserstoff-Forschung Baden-W®πrttemberg (ZSW),2020,TKV30,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,1.4,,XC-72R,30,230,120,1,ethylene glycol,12,250,1,1,0,113,597,0.528318584,,,,0.72,25,0.25,0.1,19.4,Gore membrane,15,140,4,10,85,0,80,195,450,1.3,3,195,450,0.15,,0.21,1083,1,0.84,0.81,0.795,0.775,0.765,0.755,0.745,0.715,0.705,0.695,0.67,0.67,0.66,0.65,0.64,0.625,0.605,0.585,0.57,0.54,0.51,0.49,0.455,0.425,0.385,0.355,0.32656,0.30092,0.2777,0.25657
Impact of Membrane Types and Catalyst Layers Composition on Performance of Polymer Electrolyte Membrane Fuel Cells,Paritosh Kumar Mohanta,germany,Zentrum f®πr Sonnenenergie-und Wasserstoff-Forschung Baden-W®πrttemberg (ZSW),2020,TKV50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,1.5,,XC-72R,30,230,120,1,ethylene glycol,12,250,1,1,0,57,257,0.450877193,,,,0.72,25,0.25,0.1,19.4,Gore membrane,15,140,4,10,85,0,80,195,450,1.3,3,195,450,0.15,,0.21,1083,1,0.84,0.81,0.795,0.775,0.765,0.755,0.745,0.715,0.705,0.695,0.67,0.67,0.66,0.65,0.64,0.625,0.605,0.585,0.57,0.54,0.51,0.48,0.435,0.39283,0.35565,0.32262,0.29308,0.26651,0.24249,0.22065
Impact of Membrane Types and Catalyst Layers Composition on Performance of Polymer Electrolyte Membrane Fuel Cells,Paritosh Kumar Mohanta,germany,Zentrum f®πr Sonnenenergie-und Wasserstoff-Forschung Baden-W®πrttemberg (ZSW),2020,TKV30,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,1.4,,XC-72R,30,230,120,1,ethylene glycol,12,250,1,1,0,113,597,0.528318584,,,,0.72,25,0.25,0.1,19.4,Gore membrane,15,140,4,10,30,0,60,195,450,1.3,3,195,450,0.15,,0.21,1050,1.03,0.835,0.8,0.775,0.76,0.75,0.735,0.715,0.705,0.7,0.69,0.675,0.655,0.65,0.63,0.61,0.6,0.595,0.57,0.54,0.515,0.5,0.475,0.43,0.415,0.38,0.34695,0.31741,0.29083,0.26679,0.24495
Impact of Membrane Types and Catalyst Layers Composition on Performance of Polymer Electrolyte Membrane Fuel Cells,Paritosh Kumar Mohanta,germany,Zentrum f®πr Sonnenenergie-und Wasserstoff-Forschung Baden-W®πrttemberg (ZSW),2020,TKV50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,1.5,,XC-72R,30,230,120,1,ethylene glycol,12,250,1,1,0,57,257,0.450877193,,,,0.72,25,0.25,0.1,19.4,Gore membrane,15,140,4,10,30,0,60,195,450,1.3,3,195,450,0.15,,0.21,1000,1.03,0.835,0.8,0.775,0.76,0.75,0.735,0.715,0.7,0.69,0.675,0.66,0.645,0.63,0.615,0.6,0.59,0.575,0.55,0.525,0.5,0.475,0.45119,0.42955,0.40978,0.39167,0.375,0.35962,0.34537,0.33214,0.31983
Impact of Membrane Types and Catalyst Layers Composition on Performance of Polymer Electrolyte Membrane Fuel Cells,Paritosh Kumar Mohanta,germany,Zentrum f®πr Sonnenenergie-und Wasserstoff-Forschung Baden-W®πrttemberg (ZSW),2020,CB50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,4.4,,XC-72R,30,230,120,1,ethylene glycol,12,250,1,1,0,67,260,0.388059701,,,,0.72,25,0.25,0.1,19.4,Gore membrane,15,140,4,10,85,0,80,195,450,1.3,3,195,450,0.15,,0.21,990,0.97,0.84,0.81,0.785,0.765,0.76,0.74,0.725,,0.7,0.69,0.68,0.67,0.64,0.625,0.6,0.59,0.57,0.54,0.515,0.495,0.44,0.405,0.38,0.35,0.32156,0.29592,0.2727,0.25157,0.23225,0.21452
Impact of Membrane Types and Catalyst Layers Composition on Performance of Polymer Electrolyte Membrane Fuel Cells,Paritosh Kumar Mohanta,germany,Zentrum f®πr Sonnenenergie-und Wasserstoff-Forschung Baden-W®πrttemberg (ZSW),2020,CB35,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,65,2.9,,XC-72R,30,230,120,1,ethylene glycol,12,250,1,1,0,89,435,0.488764045,,,,0.72,25,0.25,0.1,19.4,Gore membrane,15,140,4,10,85,0,80,195,450,1.3,3,195,450,0.15,,0.21,990,0.97,0.84,0.81,0.785,0.765,0.76,0.74,0.725,0.71,0.7,0.69,0.68,0.67,0.64,0.625,0.6,0.59,0.57,0.54,0.515,0.495,0.44,0.395,0.36,0.32,0.28238,0.24898,0.21914,0.1923,0.16805,0.14602
Impact of Membrane Types and Catalyst Layers Composition on Performance of Polymer Electrolyte Membrane Fuel Cells,Paritosh Kumar Mohanta,germany,Zentrum f®πr Sonnenenergie-und Wasserstoff-Forschung Baden-W®πrttemberg (ZSW),2020,CB20,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,80,2.2,,XC-72R,30,230,120,1,ethylene glycol,12,250,1,1,0,118,580,0.491525424,,,,0.72,25,0.25,0.1,19.4,Gore membrane,15,140,4,10,85,0,80,195,450,1.3,3,195,450,0.15,,0.21,931,0.97,0.835,0.8,0.78,0.755,0.74,0.725,0.705,0.695,0.68,0.66,0.65,0.635,0.615,0.6,0.58,0.56,0.54,0.51,0.49,0.465,0.43,0.395,0.35,0.31,0.28,0.25156,0.22592,0.2027,0.18157,0.16225
Impact of Membrane Types and Catalyst Layers Composition on Performance of Polymer Electrolyte Membrane Fuel Cells,Paritosh Kumar Mohanta,germany,Zentrum f®πr Sonnenenergie-und Wasserstoff-Forschung Baden-W®πrttemberg (ZSW),2020,CB45,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,55,3.3,,XC-72R,30,230,120,1,ethylene glycol,12,250,1,1,0,72,167,0.231944444,,,,0.72,25,0.25,0.1,19.4,Gore membrane,15,140,4,10,85,0,80,195,450,1.3,3,195,450,0.15,,0.21,1030,0.97,0.84,0.81,0.785,0.765,0.76,0.74,0.725,0.71,0.7,0.69,0.68,0.67,0.655,0.635,0.615,0.6,0.585,0.56,0.54,0.515,0.49,0.46,0.425,0.39,0.35,0.31238,0.27898,0.24914,0.2223,0.19805
Impact of Membrane Types and Catalyst Layers Composition on Performance of Polymer Electrolyte Membrane Fuel Cells,Paritosh Kumar Mohanta,germany,Zentrum f®πr Sonnenenergie-und Wasserstoff-Forschung Baden-W®πrttemberg (ZSW),2020,CB30,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,70,2.9,,XC-72R,30,230,120,1,ethylene glycol,12,250,1,1,0,102,469,0.459803922,,,,0.72,25,0.25,0.1,19.4,Gore membrane,15,140,4,10,85,0,80,195,450,1.3,3,195,450,0.15,,0.21,959.5,0.97,0.84,0.81,0.785,0.765,0.75,0.73,0.715,0.705,0.695,0.675,0.665,0.645,0.63,0.61,0.595,0.57,0.55,0.525,0.505,0.475,0.45,0.415,0.38,0.345,0.31,0.27695,0.24741,0.22083,0.19679,0.17495
Impact of Membrane Types and Catalyst Layers Composition on Performance of Polymer Electrolyte Membrane Fuel Cells,Paritosh Kumar Mohanta,germany,Zentrum f®πr Sonnenenergie-und Wasserstoff-Forschung Baden-W®πrttemberg (ZSW),2020,TKV50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,50,1.5,,XC-72R,30,230,120,1,ethylene glycol,12,250,1,1,0,57,257,0.450877193,,,,0.72,25,0.25,0.1,19.4,Gore membrane,15,140,4,10,85,0,80,195,450,1.3,3,195,450,0.15,,0.21,1080,0.97,0.845,0.81,0.8,0.775,0.765,0.75,0.74,0.73,0.715,0.705,0.69,0.68,0.66,0.65,0.63,0.615,0.6,0.58,0.56,0.54,0.51,0.49,0.46,0.43,0.4,0.37156,0.34592,0.3227,0.30157,0.28225
Impact of Membrane Types and Catalyst Layers Composition on Performance of Polymer Electrolyte Membrane Fuel Cells,Paritosh Kumar Mohanta,germany,Zentrum f®πr Sonnenenergie-und Wasserstoff-Forschung Baden-W®πrttemberg (ZSW),2020,CB45,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,55,3.3,,XC-72R,30,230,120,1,ethylene glycol,12,250,1,1,0,72,167,0.231944444,,,,0.72,25,0.25,0.1,19.4,Gore membrane,15,140,4,10,45,0,65,195,450,1.3,3,195,450,0.15,,0.21,1060,1.01,0.83,0.8,0.78,0.77,0.75,0.735,0.725,0.71,0.7,0.69,0.675,0.66,0.645,0.635,0.625,0.6,0.58,0.565,0.55,0.53,0.5,0.475,0.45,0.425,0.39,0.365,0.345,0.32586,0.30828,0.2921
